Mural Registration ID,Image Link,Image
19195,https://live.staticflickr.com/4442/35933878963_c444c57c1b_z.jpg,#VALUE!
19425,https://img-cache.oppcdn.com/img/v1.0/s:38127/t:QkxBTksrVEVYVCtIRVJF/p:12/g:tl/o:2.5/a:50/q:90/1640x830-EuuTAzMqX1up8XxL.jpg/1106x830/ab3bc4b2d68b244daf694dc2eeecf64a.jpg,Picture
19375,,#VALUE!
19324,,#VALUE!
19160,https://images.squarespace-cdn.com/content/v1/5344945ce4b00c883f89c421/1542237954513-KK35BBCLNIQ7OR6C2BCB/IMG_4821.JPG?format=1500w,Picture
19377,,#VALUE!
19421,https://images.squarespace-cdn.com/content/v1/55edd6dbe4b03f7588c0a87f/1477685882900-2FMEVBLE3FS0ZRWMYX0D/19.JPG?format=1500w,Picture
19057,,#VALUE!
19098,,#VALUE!
19201,https://pbs.twimg.com/media/DgzCaovUEAA8WTf.jpg,Picture
19249,https://www.chicago.gov/content/dam/city/depts/dca/Public%20Art/mural_registry/grid_gallery/therowantree.jpg,Picture
19335,,#VALUE!
19206,https://cdn.shoplightspeed.com/shops/636205/files/25789985/1600x2048x1/buy-columbia-by-columbia-desenredando-fronteras-sc.jpg,Picture
19047,"https://nationalmuseumofmexicanart.org/img/8d598ad4-dfef-4077-bb23-1f2a93be0a3b/yollocalli-murals-izaacguzman-3.jpg?fm=jpg&q=80&fit=max&crop=6745,3369,0,717&w=320",#VALUE!
19089,,#VALUE!
19203,https://media.gettyimages.com/id/1143144011/photo/chicago-cityscapes-and-city-views.jpg?s=2048x2048&w=gi&k=20&c=Ae8GwNn2cEGFuzRbAvv-jJd70Ev1mxayNJIgxGdEXUg=,Picture
19338,,#VALUE!
19438,https://artsalivechicago.org/wp-content/uploads/2022/11/EC-Culvers-final.jpg,Picture
19397,,#VALUE!
19442,https://images.squarespace-cdn.com/content/v1/5859a21abebafbdeb004bae2/1694488761206-JMSE6IXHEWHOCUSDUJGW/image-asset.jpeg?format=2500w,#VALUE!
19153,,#VALUE!
19033,https://artsalivechicago.org/wp-content/uploads/2018/06/36189060_10212481175647659_6252075397618335744_n.jpg,#VALUE!
19097,,#VALUE!
19310,,#VALUE!
19334,,#VALUE!
19029,https://images.squarespace-cdn.com/content/v1/572e8cb440261d2ef98570ef/1606772604036-AREWHYCEON18IZK06IH7/SKYWHOLE.jpg?format=1500w,Picture
19402,https://i0.wp.com/bcc-newspack.s3.amazonaws.com/uploads/2022/08/20220401_131744-1-scaled-1.jpg?fit=1200%2C555&ssl=1,Picture
19073,https://hue.crc.nd.edu/pilsen/murals/declaration-of-immigration/gallery-0_hu4405ca864103d9418edac45f1abefa83_1644308_600x0_resize_q75_box.jpg,Picture
19225,https://media.gettyimages.com/id/1153546294/photo/chicago-cityscapes-and-city-views.jpg?s=612x612&w=gi&k=20&c=0lUVSBXOKfyEFNtDmIvTREbXbO-94AEUXcXyAkvSUTM=,Picture
19430,https://img-cache.oppcdn.com/fixed/38127/assets/T57qYCtOMEnTreYq.jpg,Picture
19079,,#VALUE!
19194,https://images.fnewsmagazine.com/2017/07/DSC_7381.jpg,Picture
19169,"https://static.wixstatic.com/media/8ef7ca_a210c24aba994b71ac3d6d0a8a706dc9~mv2.jpg/v1/fill/w_280,h_103,q_90/8ef7ca_a210c24aba994b71ac3d6d0a8a706dc9~mv2.jpg",Picture
19093,,#VALUE!
19289,https://loopchicago.com/assets/Tourism-Operators/images/18_Barrett-Keithley_Intergallactic-lovers-or-nah__FillWzEyMDAsMTIwMF0.jpg,Picture
19447,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcQrCJSV0r6SFUNjAx7Qfyz83e49t_TlIOg6TFdi9JNxHzAmNWER,#VALUE!
19412,,#VALUE!
19181,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcSKZAz_0VB7O68Nv-gLuWgZW6G0mPxpl6pFCt3qoFPD6pt85Uob,Picture
19085,,#VALUE!
19046,,#VALUE!
19045,https://www.corkery.cps.edu/lightbox2/virtual17/28.jpg,#VALUE!
19059,https://yollocalli.org/wp-content/uploads/2020/10/mmural1.jpg,#VALUE!
19405,,#VALUE!
